                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                0.44451,                0.29865,                0.87211,                0.94215,                0.93691,                0.97022,                0.90046,                0.41782,                0.30541,                0.86889,               0.005413,               0.005413,               0.005413
                    142,                0.44475,                0.29736,                0.87427,                0.94193,                0.93678,                0.97037,                0.90068,                0.41751,                0.30531,                0.86889,                0.00538,                0.00538,                0.00538
                    143,                0.44345,                0.29527,                0.87344,                0.94033,                0.93668,                0.97031,                 0.9002,                0.41726,                0.30541,                0.86885,               0.005347,               0.005347,               0.005347
                    144,                0.43826,                0.29675,                0.87446,                0.94088,                0.93667,                0.97006,                0.90058,                0.41686,                0.30573,                0.86868,               0.005314,               0.005314,               0.005314
                    145,                0.43825,                0.29723,                0.87217,                0.93987,                0.93693,                0.96977,                0.89994,                0.41663,                0.30543,                0.86853,               0.005281,               0.005281,               0.005281
                    146,                0.44065,                0.29151,                0.87072,                0.94113,                 0.9363,                0.96942,                 0.9001,                0.41611,                 0.3042,                0.86843,               0.005248,               0.005248,               0.005248
                    147,                0.44162,                0.29605,                 0.8732,                0.93838,                0.93825,                0.96936,                0.89957,                0.41581,                 0.3046,                0.86842,               0.005215,               0.005215,               0.005215
                    148,                0.44079,                0.29284,                0.87491,                0.93803,                0.94009,                 0.9686,                0.89852,                0.41563,                0.30518,                0.86824,               0.005182,               0.005182,               0.005182
                    149,                0.43574,                0.28978,                0.87028,                0.93782,                0.93946,                0.96877,                0.89961,                0.41521,                0.30467,                0.86807,               0.005149,               0.005149,               0.005149
                    150,                 0.4366,                0.29007,                0.86909,                0.93786,                0.93968,                0.96991,                0.90071,                0.41473,                0.30407,                0.86793,               0.005116,               0.005116,               0.005116
                    151,                0.43084,                0.28549,                0.86962,                0.93784,                0.93979,                0.97041,                 0.9019,                0.41449,                0.30341,                0.86792,               0.005083,               0.005083,               0.005083
                    152,                0.43385,                0.29345,                0.86716,                0.93826,                0.93979,                0.96998,                0.90114,                0.41422,                0.30307,                0.86774,                0.00505,                0.00505,                0.00505
                    153,                0.42955,                0.28261,                 0.8711,                0.93909,                0.93958,                0.97004,                0.90169,                0.41339,                0.30333,                0.86752,               0.005017,               0.005017,               0.005017
                    154,                0.43666,                0.28627,                0.87138,                0.93892,                0.94015,                0.96963,                0.90148,                0.41318,                0.30265,                0.86747,               0.004984,               0.004984,               0.004984
                    155,                 0.4304,                0.28786,                0.86934,                0.93852,                0.94003,                0.96978,                0.90127,                0.41287,                0.30262,                0.86736,               0.004951,               0.004951,               0.004951
                    156,                0.42756,                 0.2832,                0.86546,                0.93897,                0.93976,                0.96979,                0.90119,                0.41252,                0.30278,                0.86728,               0.004918,               0.004918,               0.004918
                    157,                0.42591,                0.28412,                0.86351,                0.93964,                0.93996,                0.97013,                0.90216,                 0.4122,                0.30276,                0.86725,               0.004885,               0.004885,               0.004885
